location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Mean Sea Level Pressure
unit,hPa
level,MSL
resolution,hourly
aggregation,None
timestamp,Basel Mean Sea Level Pressure [MSL]
20230101T0000,1021.4
20230101T0100,1021.3
20230101T0200,1021.5
20230101T0300,1021.7
20230101T0400,1021.9
20230101T0500,1022.0
20230101T0600,1022.0
20230101T0700,1022.6
20230101T0800,1022.9
20230101T0900,1022.9
20230101T1000,1023.0
20230101T1100,1022.7
20230101T1200,1021.8
20230101T1300,1021.2
20230101T1400,1020.9
20230101T1500,1020.7
20230101T1600,1020.6
20230101T1700,1020.6
20230101T1800,1020.5
20230101T1900,1020.5
20230101T2000,1020.3
20230101T2100,1020.2
20230101T2200,1020.1
20230101T2300,1020.4
20230102T0000,1020.4
20230102T0100,1020.1
20230102T0200,1019.8
20230102T0300,1019.3
20230102T0400,1019.2
20230102T0500,1019.2
20230102T0600,1019.6
20230102T0700,1020.5
20230102T0800,1020.9
20230102T0900,1021.5
20230102T1000,1021.9
20230102T1100,1022.0
20230102T1200,1022.0
20230102T1300,1022.3
20230102T1400,1023.1
20230102T1500,1024.1
20230102T1600,1025.0
20230102T1700,1025.8
20230102T1800,1026.5
20230102T1900,1027.5
20230102T2000,1028.1
20230102T2100,1028.6
20230102T2200,1029.1
20230102T2300,1029.7
20230103T0000,1029.6
20230103T0100,1029.7
20230103T0200,1029.7
20230103T0300,1029.9
20230103T0400,1029.6
20230103T0500,1029.9
20230103T0600,1030.5
20230103T0700,1030.7
20230103T0800,1031.3
20230103T0900,1031.7
20230103T1000,1032.7
20230103T1100,1032.3
20230103T1200,1032.1
20230103T1300,1031.6
20230103T1400,1031.3
20230103T1500,1031.4
20230103T1600,1031.7
20230103T1700,1032.0
20230103T1800,1032.0
20230103T1900,1032.3
20230103T2000,1032.5
20230103T2100,1032.1
20230103T2200,1032.7
20230103T2300,1032.7
20230104T0000,1032.5
20230104T0100,1032.0
20230104T0200,1032.2
20230104T0300,1031.9
20230104T0400,1031.5
20230104T0500,1031.5
20230104T0600,1031.1
20230104T0700,1031.1
20230104T0800,1031.0
20230104T0900,1031.0
20230104T1000,1031.0
20230104T1100,1030.4
20230104T1200,1029.9
20230104T1300,1029.2
20230104T1400,1028.7
20230104T1500,1028.6
20230104T1600,1028.4
20230104T1700,1028.5
20230104T1800,1028.0
20230104T1900,1027.9
20230104T2000,1027.6
20230104T2100,1027.5
20230104T2200,1027.4
20230104T2300,1026.8
20230105T0000,1026.4
20230105T0100,1026.3
20230105T0200,1026.0
20230105T0300,1025.6
20230105T0400,1025.6
20230105T0500,1025.6
20230105T0600,1025.9
20230105T0700,1026.1
20230105T0800,1026.7
20230105T0900,1027.1
20230105T1000,1027.5
20230105T1100,1027.4
20230105T1200,1026.9
20230105T1300,1026.6
20230105T1400,1026.5
20230105T1500,1026.7
20230105T1600,1026.8
20230105T1700,1026.9
20230105T1800,1026.6
20230105T1900,1026.4
20230105T2000,1026.4
20230105T2100,1026.0
20230105T2200,1025.9
20230105T2300,1025.7
20230106T0000,1025.3
20230106T0100,1024.9
20230106T0200,1025.0
20230106T0300,1024.9
20230106T0400,1024.6
20230106T0500,1024.7
20230106T0600,1025.0
20230106T0700,1024.9
20230106T0800,1025.4
20230106T0900,1025.8
20230106T1000,1025.9
20230106T1100,1025.8
20230106T1200,1025.1
20230106T1300,1024.5
20230106T1400,1024.1
20230106T1500,1024.2
20230106T1600,1024.4
20230106T1700,1024.6
20230106T1800,1024.7
20230106T1900,1024.7
20230106T2000,1024.5
20230106T2100,1024.0
20230106T2200,1024.0
20230106T2300,1024.2
20230107T0000,1023.7
20230107T0100,1023.3
20230107T0200,1022.9
20230107T0300,1022.4
20230107T0400,1021.6
20230107T0500,1021.0
20230107T0600,1020.7
20230107T0700,1020.5
20230107T0800,1020.1
20230107T0900,1019.4
20230107T1000,1019.1
20230107T1100,1018.9
20230107T1200,1017.4
20230107T1300,1016.4
20230107T1400,1015.8
20230107T1500,1015.3
20230107T1600,1014.9
20230107T1700,1014.8
20230107T1800,1014.6
20230107T1900,1014.3
20230107T2000,1014.4
20230107T2100,1014.2
20230107T2200,1013.6
20230107T2300,1013.4
20230108T0000,1012.9
20230108T0100,1012.4
20230108T0200,1011.5
20230108T0300,1011.2
20230108T0400,1011.5
20230108T0500,1011.4
20230108T0600,1011.0
20230108T0700,1011.1
20230108T0800,1010.9
20230108T0900,1010.8
20230108T1000,1010.7
20230108T1100,1010.0
