location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230101T0000,8.700001
20230101T0100,22.0
20230101T0200,44.0
20230101T0300,22.0
20230101T0400,4.0
20230101T0500,2.0
20230101T0600,10.0
20230101T0700,21.0
20230101T0800,22.0
20230101T0900,10.0
20230101T1000,12.0
20230101T1100,21.0
20230101T1200,13.500001
20230101T1300,16.800001
20230101T1400,14.1
20230101T1500,19.5
20230101T1600,11.400001
20230101T1700,6.9
20230101T1800,3.3000002
20230101T1900,6.6000004
20230101T2000,9.3
20230101T2100,11.1
20230101T2200,7.2000003
20230101T2300,14.400001
20230102T0000,15.900001
20230102T0100,17.1
20230102T0200,51.0
20230102T0300,88.0
20230102T0400,61.0
20230102T0500,36.0
20230102T0600,40.0
20230102T0700,49.0
20230102T0800,49.0
20230102T0900,25.0
20230102T1000,18.0
20230102T1100,57.0
20230102T1200,58.0
20230102T1300,96.0
20230102T1400,98.0
20230102T1500,100.0
20230102T1600,99.0
20230102T1700,99.0
20230102T1800,100.0
20230102T1900,100.0
20230102T2000,99.0
20230102T2100,99.0
20230102T2200,94.0
20230102T2300,100.0
20230103T0000,94.0
20230103T0100,76.0
20230103T0200,68.0
20230103T0300,60.0
20230103T0400,63.0
20230103T0500,65.0
20230103T0600,62.0
20230103T0700,62.0
20230103T0800,70.0
20230103T0900,79.0
20230103T1000,81.0
20230103T1100,46.0
20230103T1200,80.0
20230103T1300,92.0
20230103T1400,92.0
20230103T1500,85.0
20230103T1600,71.0
20230103T1700,57.0
20230103T1800,55.0
20230103T1900,54.0
20230103T2000,59.0
20230103T2100,55.0
20230103T2200,51.0
20230103T2300,32.0
20230104T0000,61.0
20230104T0100,12.0
20230104T0200,13.0
20230104T0300,16.0
20230104T0400,54.0
20230104T0500,89.0
20230104T0600,95.0
20230104T0700,95.0
20230104T0800,95.0
20230104T0900,94.0
20230104T1000,99.0
20230104T1100,100.0
20230104T1200,100.0
20230104T1300,96.0
20230104T1400,99.0
20230104T1500,100.0
20230104T1600,89.0
20230104T1700,79.0
20230104T1800,93.0
20230104T1900,99.0
20230104T2000,100.0
20230104T2100,99.0
20230104T2200,100.0
20230104T2300,100.0
20230105T0000,98.0
20230105T0100,98.0
20230105T0200,99.0
20230105T0300,100.0
20230105T0400,100.0
20230105T0500,100.0
20230105T0600,100.0
20230105T0700,100.0
20230105T0800,100.0
20230105T0900,99.0
20230105T1000,97.0
20230105T1100,99.0
20230105T1200,83.0
20230105T1300,97.0
20230105T1400,100.0
20230105T1500,100.0
20230105T1600,99.0
20230105T1700,98.0
20230105T1800,78.0
20230105T1900,55.0
20230105T2000,49.0
20230105T2100,46.0
20230105T2200,33.0
20230105T2300,28.2
20230106T0000,32.0
20230106T0100,53.0
20230106T0200,76.0
20230106T0300,92.0
20230106T0400,99.0
20230106T0500,100.0
20230106T0600,100.0
20230106T0700,95.0
20230106T0800,99.0
20230106T0900,94.0
20230106T1000,93.0
20230106T1100,86.0
20230106T1200,96.0
20230106T1300,79.0
20230106T1400,70.0
20230106T1500,65.0
20230106T1600,66.0
20230106T1700,65.0
20230106T1800,63.0
20230106T1900,44.0
20230106T2000,28.0
20230106T2100,37.0
20230106T2200,43.0
20230106T2300,51.0
20230107T0000,61.0
20230107T0100,61.0
20230107T0200,66.0
20230107T0300,82.0
20230107T0400,70.0
20230107T0500,69.0
20230107T0600,70.0
20230107T0700,66.0
20230107T0800,66.0
20230107T0900,89.0
20230107T1000,87.0
20230107T1100,86.0
20230107T1200,17.0
20230107T1300,7.0
20230107T1400,11.400001
20230107T1500,10.5
20230107T1600,17.400002
20230107T1700,25.2
20230107T1800,18.300001
20230107T1900,13.200001
20230107T2000,9.6
20230107T2100,14.0
20230107T2200,10.0
20230107T2300,7.5000005
20230108T0000,38.0
20230108T0100,55.0
20230108T0200,30.000002
20230108T0300,38.0
20230108T0400,85.0
20230108T0500,99.0
20230108T0600,100.0
20230108T0700,100.0
20230108T0800,100.0
20230108T0900,100.0
20230108T1000,99.0
20230108T1100,99.0
20230108T1200,99.0
20230108T1300,82.0
20230108T1400,69.0
20230108T1500,33.0
20230108T1600,94.0
20230108T1700,88.0
20230108T1800,73.0
20230108T1900,95.0
20230108T2000,93.0
20230108T2100,94.0
20230108T2200,100.0
20230108T2300,100.0
20230109T0000,100.0
20230109T0100,97.0
20230109T0200,92.0
20230109T0300,94.0
