location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Relative Humidity
unit,%
level,2 m
resolution,hourly
aggregation,None
timestamp,Basel Relative Humidity [2 m]
20180101T0000,83.42795
20180101T0100,84.82822
20180101T0200,81.06689
20180101T0300,81.2679
20180101T0400,81.1812
20180101T0500,80.2977
20180101T0600,82.35025
20180101T0700,84.3168
20180101T0800,83.48148
20180101T0900,79.294624
20180101T1000,75.93394
20180101T1100,69.96332
20180101T1200,63.540176
20180101T1300,61.78421
20180101T1400,60.32606
20180101T1500,65.524414
20180101T1600,63.015255
20180101T1700,68.770065
20180101T1800,74.96853
20180101T1900,77.53625
20180101T2000,84.53902
20180101T2100,87.23596
20180101T2200,82.07853
20180101T2300,79.83215
20180102T0000,79.34944
20180102T0100,82.22327
20180102T0200,82.57988
20180102T0300,82.50687
20180102T0400,82.39358
20180102T0500,82.89586
20180102T0600,82.846535
20180102T0700,82.880455
20180102T0800,83.6343
20180102T0900,80.478134
20180102T1000,78.74541
20180102T1100,74.83511
20180102T1200,73.24702
20180102T1300,69.427765
20180102T1400,68.946365
20180102T1500,68.74953
20180102T1600,70.776886
20180102T1700,70.85349
20180102T1800,69.968864
20180102T1900,68.83073
20180102T2000,71.1548
20180102T2100,77.729485
20180102T2200,84.08976
20180102T2300,87.48155
20180103T0000,90.92412
20180103T0100,91.16131
20180103T0200,89.06748
20180103T0300,87.21116
20180103T0400,84.03696
20180103T0500,83.23148
20180103T0600,79.60744
20180103T0700,77.69127
20180103T0800,77.9726
20180103T0900,81.97465
20180103T1000,71.997406
20180103T1100,77.05888
20180103T1200,75.84028
20180103T1300,68.49991
20180103T1400,65.100266
20180103T1500,60.05862
20180103T1600,64.66073
20180103T1700,69.32619
20180103T1800,73.22267
20180103T1900,71.18285
20180103T2000,73.94838
20180103T2100,75.118576
20180103T2200,77.2995
20180103T2300,79.99876
20180104T0000,83.47881
20180104T0100,86.01886
20180104T0200,89.25337
20180104T0300,90.69056
20180104T0400,91.97611
20180104T0500,91.55452
20180104T0600,91.64394
20180104T0700,92.04846
20180104T0800,93.09888
20180104T0900,94.884575
20180104T1000,94.77011
20180104T1100,93.41442
20180104T1200,91.18511
20180104T1300,90.44147
20180104T1400,89.15742
20180104T1500,88.38918
20180104T1600,88.382
20180104T1700,86.63633
20180104T1800,84.31139
20180104T1900,83.732346
20180104T2000,85.04852
20180104T2100,85.007545
20180104T2200,84.94435
20180104T2300,86.49911
20180105T0000,88.63527
20180105T0100,89.73666
20180105T0200,86.530624
20180105T0300,87.524826
20180105T0400,89.70084
20180105T0500,87.7643
20180105T0600,85.10749
20180105T0700,83.35395
20180105T0800,81.69907
20180105T0900,77.6389
20180105T1000,76.08026
20180105T1100,74.31776
20180105T1200,75.831894
20180105T1300,77.702515
20180105T1400,77.92617
20180105T1500,82.22028
20180105T1600,85.079926
20180105T1700,87.52178
20180105T1800,89.11056
20180105T1900,91.085724
20180105T2000,92.409676
20180105T2100,91.78009
20180105T2200,91.03029
20180105T2300,92.09192
20180106T0000,93.22524
20180106T0100,94.12526
20180106T0200,93.98685
20180106T0300,94.36305
20180106T0400,95.12962
20180106T0500,95.25881
20180106T0600,95.33036
20180106T0700,96.44186
20180106T0800,96.844604
20180106T0900,96.12533
20180106T1000,93.93972
20180106T1100,91.49877
20180106T1200,90.52711
20180106T1300,89.31882
20180106T1400,88.83468
20180106T1500,93.834656
20180106T1600,91.86028
20180106T1700,96.904816
20180106T1800,97.628075
20180106T1900,97.75486
20180106T2000,96.79934
20180106T2100,95.7973
20180106T2200,95.418015
20180106T2300,95.605774
20180107T0000,95.00348
20180107T0100,95.19211
20180107T0200,94.94391
20180107T0300,95.469215
20180107T0400,95.74007
20180107T0500,95.86913
20180107T0600,97.06312
20180107T0700,97.80031
20180107T0800,96.71197
20180107T0900,94.87302
20180107T1000,92.838776
20180107T1100,90.228195
20180107T1200,86.97008
20180107T1300,86.312096
20180107T1400,87.33102
20180107T1500,91.7324
20180107T1600,96.27763
20180107T1700,96.649345
20180107T1800,96.83024
20180107T1900,96.53682
20180107T2000,96.19171
20180107T2100,95.49694
20180107T2200,93.3084
20180107T2300,93.88157
20180108T0000,93.77669
20180108T0100,94.1025
20180108T0200,95.307846
20180108T0300,95.328766
20180108T0400,95.66656
20180108T0500,96.4773
20180108T0600,96.26315
20180108T0700,96.2566
20180108T0800,95.261795
20180108T0900,92.64098
20180108T1000,89.219
20180108T1100,87.066826
20180108T1200,84.83389
