location,Basel,Basel
lat,47.75000,47.75000
lon,7.50000,7.50000
asl,363.653,363.653
variable,Wind Speed,Wind Direction
unit,km/h,°
level,10 m,10 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180101T0000,17.477621,237.61932
20180101T0100,20.456745,241.63095
20180101T0200,18.671474,236.00354
20180101T0300,18.837324,225.0
20180101T0400,19.914215,220.60129
20180101T0500,20.898613,227.79271
20180101T0600,21.028437,231.95296
20180101T0700,19.95972,230.85602
20180101T0800,18.899143,229.63547
20180101T0900,18.837324,225.0
20180101T1000,14.081477,212.47119
20180101T1100,17.595861,210.76273
20180101T1200,18.455048,200.55605
20180101T1300,18.86139,203.62938
20180101T1400,17.072504,204.94391
20180101T1500,18.64369,190.00798
20180101T1600,20.393293,200.67442
20180101T1700,22.728518,209.4072
20180101T1800,25.277023,215.7274
20180101T1900,27.381308,219.1304
20180101T2000,28.266304,223.45184
20180101T2100,27.36947,234.63754
20180101T2200,19.346441,225.0
20180101T2300,20.26899,236.59218
20180102T0000,20.929594,243.43495
20180102T0100,19.969458,242.04904
20180102T0200,19.201874,239.58893
20180102T0300,19.33639,241.04901
20180102T0400,18.709612,239.98164
20180102T0500,18.359999,241.92752
20180102T0600,17.917007,247.55725
20180102T0700,17.873554,251.2001
20180102T0800,16.1198,246.29736
20180102T0900,15.7908325,245.77226
20180102T1000,14.618837,232.00127
20180102T1100,16.641972,231.14662
20180102T1200,16.79314,239.03624
20180102T1300,13.584932,237.99463
20180102T1400,12.594856,239.03625
20180102T1500,10.799999,216.8699
20180102T1600,7.4128532,209.05461
20180102T1700,9.360001,202.61987
20180102T1800,10.365251,200.32314
20180102T1900,10.948973,189.46233
20180102T2000,13.138765,189.46233
20180102T2100,14.471821,185.71059
20180102T2200,11.720751,169.38034
20180102T2300,15.137133,177.27368
20180103T0000,17.339897,184.76364
20180103T0100,18.161278,193.76079
20180103T0200,21.273533,203.9625
20180103T0300,25.264202,212.78427
20180103T0400,27.36947,206.56505
20180103T0500,30.96837,215.53769
20180103T0600,35.309376,219.2072
20180103T0700,36.204617,221.77548
20180103T0800,37.76055,228.86546
20180103T0900,37.83941,248.80594
20180103T1000,33.190357,266.26862
20180103T1100,30.993471,272.66302
20180103T1200,27.475807,264.7376
20180103T1300,27.112564,259.28687
20180103T1400,26.554728,254.268
20180103T1500,23.587555,254.0546
20180103T1600,23.006226,249.86371
20180103T1700,22.26477,247.16635
20180103T1800,22.66857,249.55045
20180103T1900,21.603,246.4253
20180103T2000,20.929594,243.43495
20180103T2100,20.073025,237.45
20180103T2200,14.88242,237.84772
20180103T2300,14.021525,228.12213
20180104T0000,15.7908325,223.15239
20180104T0100,17.31746,223.3153
20180104T0200,16.870138,219.80557
20180104T0300,17.49615,216.63412
20180104T0400,14.84318,219.09386
20180104T0500,12.72283,205.11484
20180104T0600,13.854155,204.56717
20180104T0700,14.182355,203.9625
20180104T0800,16.09969,206.56505
20180104T0900,16.489416,216.11934
20180104T1000,8.669949,175.23636
20180104T1100,13.276144,192.52881
20180104T1200,18.440998,218.65982
20180104T1300,24.122686,232.27501
20180104T1400,27.257967,236.30994
20180104T1500,28.082308,233.86462
20180104T1600,29.179993,231.009
20180104T1700,29.09103,229.01418
20180104T1800,29.05983,228.01279
20180104T1900,29.871325,229.39871
20180104T2000,29.871325,229.39871
20180104T2100,28.66694,234.71326
20180104T2200,16.79314,239.03624
20180104T2300,16.981165,237.99463
20180105T0000,18.043148,241.38954
20180105T0100,18.331741,250.49756
20180105T0200,17.58481,247.10945
20180105T0300,15.277749,235.561
20180105T0400,14.05845,219.80557
20180105T0500,13.0447235,207.97948
20180105T0600,10.787993,205.70996
20180105T0700,10.163227,202.9321
20180105T0800,10.829958,201.44774
20180105T0900,11.440979,204.14554
20180105T1000,5.771239,183.57634
20180105T1100,8.707238,172.87498
20180105T1200,11.792404,192.33908
20180105T1300,13.089354,211.50427
20180105T1400,13.276144,220.6013
20180105T1500,11.435313,241.82141
20180105T1600,10.08,270.0
20180105T1700,8.427383,289.98312
20180105T1800,4.73506,278.74615
20180105T1900,4.1046314,254.74487
20180105T2000,2.52,180.0
20180105T2100,3.219938,153.43495
20180105T2200,4.198285,149.03624
20180105T2300,3.396233,147.99461
20180106T0000,3.8773184,158.1986
20180106T0100,4.39436,145.00798
20180106T0200,5.6233797,129.80557
20180106T0300,6.8777895,132.8789
20180106T0400,5.6233797,140.19443
20180106T0500,4.1046314,105.25512
20180106T0600,4.2136917,109.9831
20180106T0700,3.7585104,106.69924
20180106T0800,3.671294,101.30993
20180106T0900,4.452954,104.03624
20180106T1000,4.6800003,112.61986
20180106T1100,6.1094027,135.0
20180106T1200,8.287822,145.61966
20180106T1300,5.6233797,140.19443
20180106T1400,4.68,89.99999
20180106T1500,4.896529,72.89727
20180106T1600,5.04,89.99999
20180106T1700,4.452954,104.03624
20180106T1800,4.198285,120.96376
20180106T1900,3.0547013,135.0
20180106T2000,3.319036,130.60129
20180106T2100,3.396233,122.00538
20180106T2200,3.8773184,111.80141
20180106T2300,5.6920996,108.434944
20180107T0000,4.5536795,108.434944
20180107T0100,2.9024127,97.125015
20180107T0200,3.0758414,110.556046
20180107T0300,2.968636,104.03624
20180107T0400,3.7585104,73.30075
20180107T0500,3.8773184,68.19859
20180107T0600,3.8939953,56.30993
20180107T0700,4.3349743,41.63353
