Yil,Ay,Gun,Saat,Basinc
Y2023,Ocak,D01,T0000,1021.4
Y2023,Ocak,D01,T0100,1021.3
Y2023,Ocak,D01,T0200,1021.5
Y2023,Ocak,D01,T0300,1021.7
Y2023,Ocak,D01,T0400,1021.9
Y2023,Ocak,D01,T0500,1022.0
Y2023,Ocak,D01,T0600,1022.0
Y2023,Ocak,D01,T0700,1022.6
Y2023,Ocak,D01,T0800,1022.9
Y2023,Ocak,D01,T0900,1022.9
Y2023,Ocak,D01,T1000,1023.0
Y2023,Ocak,D01,T1100,1022.7
Y2023,Ocak,D01,T1200,1021.8
Y2023,Ocak,D01,T1300,1021.2
Y2023,Ocak,D01,T1400,1020.9
Y2023,Ocak,D01,T1500,1020.7
Y2023,Ocak,D01,T1600,1020.6
Y2023,Ocak,D01,T1700,1020.6
Y2023,Ocak,D01,T1800,1020.5
Y2023,Ocak,D01,T1900,1020.5
Y2023,Ocak,D01,T2000,1020.3
Y2023,Ocak,D01,T2100,1020.2
Y2023,Ocak,D01,T2200,1020.1
Y2023,Ocak,D01,T2300,1020.4
Y2023,Ocak,D02,T0000,1020.4
Y2023,Ocak,D02,T0100,1020.1
Y2023,Ocak,D02,T0200,1019.8
Y2023,Ocak,D02,T0300,1019.3
Y2023,Ocak,D02,T0400,1019.2
Y2023,Ocak,D02,T0500,1019.2
Y2023,Ocak,D02,T0600,1019.6
Y2023,Ocak,D02,T0700,1020.5
Y2023,Ocak,D02,T0800,1020.9
Y2023,Ocak,D02,T0900,1021.5
Y2023,Ocak,D02,T1000,1021.9
Y2023,Ocak,D02,T1100,1022.0
Y2023,Ocak,D02,T1200,1022.0
Y2023,Ocak,D02,T1300,1022.3
Y2023,Ocak,D02,T1400,1023.1
Y2023,Ocak,D02,T1500,1024.1
Y2023,Ocak,D02,T1600,1025.0
Y2023,Ocak,D02,T1700,1025.8
Y2023,Ocak,D02,T1800,1026.5
Y2023,Ocak,D02,T1900,1027.5
Y2023,Ocak,D02,T2000,1028.1
Y2023,Ocak,D02,T2100,1028.6
Y2023,Ocak,D02,T2200,1029.1
Y2023,Ocak,D02,T2300,1029.7
Y2023,Ocak,D03,T0000,1029.6
Y2023,Ocak,D03,T0100,1029.7
Y2023,Ocak,D03,T0200,1029.7
Y2023,Ocak,D03,T0300,1029.9
Y2023,Ocak,D03,T0400,1029.6
Y2023,Ocak,D03,T0500,1029.9
Y2023,Ocak,D03,T0600,1030.5
Y2023,Ocak,D03,T0700,1030.7
Y2023,Ocak,D03,T0800,1031.3
Y2023,Ocak,D03,T0900,1031.7
Y2023,Ocak,D03,T1000,1032.7
Y2023,Ocak,D03,T1100,1032.3
Y2023,Ocak,D03,T1200,1032.1
Y2023,Ocak,D03,T1300,1031.6
Y2023,Ocak,D03,T1400,1031.3
Y2023,Ocak,D03,T1500,1031.4
Y2023,Ocak,D03,T1600,1031.7
Y2023,Ocak,D03,T1700,1032.0
Y2023,Ocak,D03,T1800,1032.0
Y2023,Ocak,D03,T1900,1032.3
Y2023,Ocak,D03,T2000,1032.5
Y2023,Ocak,D03,T2100,1032.1
Y2023,Ocak,D03,T2200,1032.7
Y2023,Ocak,D03,T2300,1032.7
Y2023,Ocak,D04,T0000,1032.5
Y2023,Ocak,D04,T0100,1032.0
Y2023,Ocak,D04,T0200,1032.2
Y2023,Ocak,D04,T0300,1031.9
Y2023,Ocak,D04,T0400,1031.5
Y2023,Ocak,D04,T0500,1031.5
Y2023,Ocak,D04,T0600,1031.1
Y2023,Ocak,D04,T0700,1031.1
Y2023,Ocak,D04,T0800,1031.0
Y2023,Ocak,D04,T0900,1031.0
Y2023,Ocak,D04,T1000,1031.0
Y2023,Ocak,D04,T1100,1030.4
Y2023,Ocak,D04,T1200,1029.9
Y2023,Ocak,D04,T1300,1029.2
Y2023,Ocak,D04,T1400,1028.7
Y2023,Ocak,D04,T1500,1028.6
Y2023,Ocak,D04,T1600,1028.4
Y2023,Ocak,D04,T1700,1028.5
Y2023,Ocak,D04,T1800,1028.0
Y2023,Ocak,D04,T1900,1027.9
Y2023,Ocak,D04,T2000,1027.6
Y2023,Ocak,D04,T2100,1027.5
Y2023,Ocak,D04,T2200,1027.4
Y2023,Ocak,D04,T2300,1026.8
Y2023,Ocak,D05,T0000,1026.4
Y2023,Ocak,D05,T0100,1026.3
Y2023,Ocak,D05,T0200,1026.0
Y2023,Ocak,D05,T0300,1025.6
Y2023,Ocak,D05,T0400,1025.6
Y2023,Ocak,D05,T0500,1025.6
Y2023,Ocak,D05,T0600,1025.9
Y2023,Ocak,D05,T0700,1026.1
Y2023,Ocak,D05,T0800,1026.7
Y2023,Ocak,D05,T0900,1027.1
Y2023,Ocak,D05,T1000,1027.5
Y2023,Ocak,D05,T1100,1027.4
Y2023,Ocak,D05,T1200,1026.9
Y2023,Ocak,D05,T1300,1026.6
Y2023,Ocak,D05,T1400,1026.5
Y2023,Ocak,D05,T1500,1026.7
Y2023,Ocak,D05,T1600,1026.8
Y2023,Ocak,D05,T1700,1026.9
Y2023,Ocak,D05,T1800,1026.6
Y2023,Ocak,D05,T1900,1026.4
Y2023,Ocak,D05,T2000,1026.4
Y2023,Ocak,D05,T2100,1026.0
Y2023,Ocak,D05,T2200,1025.9
Y2023,Ocak,D05,T2300,1025.7
Y2023,Ocak,D06,T0000,1025.3
Y2023,Ocak,D06,T0100,1024.9
Y2023,Ocak,D06,T0200,1025.0
Y2023,Ocak,D06,T0300,1024.9
Y2023,Ocak,D06,T0400,1024.6
Y2023,Ocak,D06,T0500,1024.7
Y2023,Ocak,D06,T0600,1025.0
Y2023,Ocak,D06,T0700,1024.9
Y2023,Ocak,D06,T0800,1025.4
Y2023,Ocak,D06,T0900,1025.8
Y2023,Ocak,D06,T1000,1025.9
Y2023,Ocak,D06,T1100,1025.8
Y2023,Ocak,D06,T1200,1025.1
Y2023,Ocak,D06,T1300,1024.5
Y2023,Ocak,D06,T1400,1024.1
Y2023,Ocak,D06,T1500,1024.2
Y2023,Ocak,D06,T1600,1024.4
Y2023,Ocak,D06,T1700,1024.6
Y2023,Ocak,D06,T1800,1024.7
