Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D01,T0000,8.700001
Y2023,Ocak,D01,T0100,22.0
Y2023,Ocak,D01,T0200,44.0
Y2023,Ocak,D01,T0300,22.0
Y2023,Ocak,D01,T0400,4.0
Y2023,Ocak,D01,T0500,2.0
Y2023,Ocak,D01,T0600,10.0
Y2023,Ocak,D01,T0700,21.0
Y2023,Ocak,D01,T0800,22.0
Y2023,Ocak,D01,T0900,10.0
Y2023,Ocak,D01,T1000,12.0
Y2023,Ocak,D01,T1100,21.0
Y2023,Ocak,D01,T1200,13.500001
Y2023,Ocak,D01,T1300,16.800001
Y2023,Ocak,D01,T1400,14.1
Y2023,Ocak,D01,T1500,19.5
Y2023,Ocak,D01,T1600,11.400001
Y2023,Ocak,D01,T1700,6.9
Y2023,Ocak,D01,T1800,3.3000002
Y2023,Ocak,D01,T1900,6.6000004
Y2023,Ocak,D01,T2000,9.3
Y2023,Ocak,D01,T2100,11.1
Y2023,Ocak,D01,T2200,7.2000003
Y2023,Ocak,D01,T2300,14.400001
Y2023,Ocak,D02,T0000,15.900001
Y2023,Ocak,D02,T0100,17.1
Y2023,Ocak,D02,T0200,51.0
Y2023,Ocak,D02,T0300,88.0
Y2023,Ocak,D02,T0400,61.0
Y2023,Ocak,D02,T0500,36.0
Y2023,Ocak,D02,T0600,40.0
Y2023,Ocak,D02,T0700,49.0
Y2023,Ocak,D02,T0800,49.0
Y2023,Ocak,D02,T0900,25.0
Y2023,Ocak,D02,T1000,18.0
Y2023,Ocak,D02,T1100,57.0
Y2023,Ocak,D02,T1200,58.0
Y2023,Ocak,D02,T1300,96.0
Y2023,Ocak,D02,T1400,98.0
Y2023,Ocak,D02,T1500,100.0
Y2023,Ocak,D02,T1600,99.0
Y2023,Ocak,D02,T1700,99.0
Y2023,Ocak,D02,T1800,100.0
Y2023,Ocak,D02,T1900,100.0
Y2023,Ocak,D02,T2000,99.0
Y2023,Ocak,D02,T2100,99.0
Y2023,Ocak,D02,T2200,94.0
Y2023,Ocak,D02,T2300,100.0
Y2023,Ocak,D03,T0000,94.0
Y2023,Ocak,D03,T0100,76.0
Y2023,Ocak,D03,T0200,68.0
Y2023,Ocak,D03,T0300,60.0
Y2023,Ocak,D03,T0400,63.0
Y2023,Ocak,D03,T0500,65.0
Y2023,Ocak,D03,T0600,62.0
Y2023,Ocak,D03,T0700,62.0
Y2023,Ocak,D03,T0800,70.0
Y2023,Ocak,D03,T0900,79.0
Y2023,Ocak,D03,T1000,81.0
Y2023,Ocak,D03,T1100,46.0
Y2023,Ocak,D03,T1200,80.0
Y2023,Ocak,D03,T1300,92.0
Y2023,Ocak,D03,T1400,92.0
Y2023,Ocak,D03,T1500,85.0
Y2023,Ocak,D03,T1600,71.0
Y2023,Ocak,D03,T1700,57.0
Y2023,Ocak,D03,T1800,55.0
Y2023,Ocak,D03,T1900,54.0
Y2023,Ocak,D03,T2000,59.0
Y2023,Ocak,D03,T2100,55.0
Y2023,Ocak,D03,T2200,51.0
Y2023,Ocak,D03,T2300,32.0
Y2023,Ocak,D04,T0000,61.0
Y2023,Ocak,D04,T0100,12.0
Y2023,Ocak,D04,T0200,13.0
Y2023,Ocak,D04,T0300,16.0
Y2023,Ocak,D04,T0400,54.0
Y2023,Ocak,D04,T0500,89.0
Y2023,Ocak,D04,T0600,95.0
Y2023,Ocak,D04,T0700,95.0
Y2023,Ocak,D04,T0800,95.0
Y2023,Ocak,D04,T0900,94.0
Y2023,Ocak,D04,T1000,99.0
Y2023,Ocak,D04,T1100,100.0
Y2023,Ocak,D04,T1200,100.0
Y2023,Ocak,D04,T1300,96.0
Y2023,Ocak,D04,T1400,99.0
Y2023,Ocak,D04,T1500,100.0
Y2023,Ocak,D04,T1600,89.0
Y2023,Ocak,D04,T1700,79.0
Y2023,Ocak,D04,T1800,93.0
Y2023,Ocak,D04,T1900,99.0
Y2023,Ocak,D04,T2000,100.0
Y2023,Ocak,D04,T2100,99.0
Y2023,Ocak,D04,T2200,100.0
Y2023,Ocak,D04,T2300,100.0
Y2023,Ocak,D05,T0000,98.0
Y2023,Ocak,D05,T0100,98.0
Y2023,Ocak,D05,T0200,99.0
Y2023,Ocak,D05,T0300,100.0
Y2023,Ocak,D05,T0400,100.0
Y2023,Ocak,D05,T0500,100.0
Y2023,Ocak,D05,T0600,100.0
Y2023,Ocak,D05,T0700,100.0
Y2023,Ocak,D05,T0800,100.0
Y2023,Ocak,D05,T0900,99.0
Y2023,Ocak,D05,T1000,97.0
Y2023,Ocak,D05,T1100,99.0
Y2023,Ocak,D05,T1200,83.0
Y2023,Ocak,D05,T1300,97.0
Y2023,Ocak,D05,T1400,100.0
Y2023,Ocak,D05,T1500,100.0
Y2023,Ocak,D05,T1600,99.0
Y2023,Ocak,D05,T1700,98.0
Y2023,Ocak,D05,T1800,78.0
Y2023,Ocak,D05,T1900,55.0
Y2023,Ocak,D05,T2000,49.0
Y2023,Ocak,D05,T2100,46.0
Y2023,Ocak,D05,T2200,33.0
Y2023,Ocak,D05,T2300,28.2
Y2023,Ocak,D06,T0000,32.0
Y2023,Ocak,D06,T0100,53.0
Y2023,Ocak,D06,T0200,76.0
Y2023,Ocak,D06,T0300,92.0
Y2023,Ocak,D06,T0400,99.0
Y2023,Ocak,D06,T0500,100.0
Y2023,Ocak,D06,T0600,100.0
Y2023,Ocak,D06,T0700,95.0
Y2023,Ocak,D06,T0800,99.0
Y2023,Ocak,D06,T0900,94.0
Y2023,Ocak,D06,T1000,93.0
Y2023,Ocak,D06,T1100,86.0
Y2023,Ocak,D06,T1200,96.0
Y2023,Ocak,D06,T1300,79.0
Y2023,Ocak,D06,T1400,70.0
Y2023,Ocak,D06,T1500,65.0
Y2023,Ocak,D06,T1600,66.0
Y2023,Ocak,D06,T1700,65.0
Y2023,Ocak,D06,T1800,63.0
Y2023,Ocak,D06,T1900,44.0
Y2023,Ocak,D06,T2000,28.0
Y2023,Ocak,D06,T2100,37.0
Y2023,Ocak,D06,T2200,43.0
Y2023,Ocak,D06,T2300,51.0
Y2023,Ocak,D07,T0000,61.0
Y2023,Ocak,D07,T0100,61.0
Y2023,Ocak,D07,T0200,66.0
Y2023,Ocak,D07,T0300,82.0
Y2023,Ocak,D07,T0400,70.0
Y2023,Ocak,D07,T0500,69.0
Y2023,Ocak,D07,T0600,70.0
Y2023,Ocak,D07,T0700,66.0
Y2023,Ocak,D07,T0800,66.0
Y2023,Ocak,D07,T0900,89.0
Y2023,Ocak,D07,T1000,87.0
Y2023,Ocak,D07,T1100,86.0
Y2023,Ocak,D07,T1200,17.0
Y2023,Ocak,D07,T1300,7.0
Y2023,Ocak,D07,T1400,11.400001
Y2023,Ocak,D07,T1500,10.5
Y2023,Ocak,D07,T1600,17.400002
Y2023,Ocak,D07,T1700,25.2
