Yil,Ay,Gun,Saat,Nem
Y2023,Ocak,D01,T0000,80.82639
Y2023,Ocak,D01,T0100,79.099785
Y2023,Ocak,D01,T0200,80.655174
Y2023,Ocak,D01,T0300,81.8313
Y2023,Ocak,D01,T0400,81.17936
Y2023,Ocak,D01,T0500,81.0855
Y2023,Ocak,D01,T0600,83.594604
Y2023,Ocak,D01,T0700,84.19529
Y2023,Ocak,D01,T0800,81.953384
Y2023,Ocak,D01,T0900,76.76955
Y2023,Ocak,D01,T1000,71.770386
Y2023,Ocak,D01,T1100,66.294365
Y2023,Ocak,D01,T1200,62.31762
Y2023,Ocak,D01,T1300,61.6592
Y2023,Ocak,D01,T1400,62.390167
Y2023,Ocak,D01,T1500,70.775986
Y2023,Ocak,D01,T1600,83.10137
Y2023,Ocak,D01,T1700,87.810326
Y2023,Ocak,D01,T1800,89.87482
Y2023,Ocak,D01,T1900,92.422905
Y2023,Ocak,D01,T2000,92.97205
Y2023,Ocak,D01,T2100,92.82547
Y2023,Ocak,D01,T2200,89.49869
Y2023,Ocak,D01,T2300,89.16199
Y2023,Ocak,D02,T0000,87.68721
Y2023,Ocak,D02,T0100,88.3425
Y2023,Ocak,D02,T0200,88.970924
Y2023,Ocak,D02,T0300,88.475746
Y2023,Ocak,D02,T0400,87.307465
Y2023,Ocak,D02,T0500,86.55244
Y2023,Ocak,D02,T0600,86.42705
Y2023,Ocak,D02,T0700,85.99921
Y2023,Ocak,D02,T0800,85.1748
Y2023,Ocak,D02,T0900,80.14096
Y2023,Ocak,D02,T1000,75.46466
Y2023,Ocak,D02,T1100,70.4381
Y2023,Ocak,D02,T1200,62.851913
Y2023,Ocak,D02,T1300,58.403896
Y2023,Ocak,D02,T1400,58.558014
Y2023,Ocak,D02,T1500,69.05593
Y2023,Ocak,D02,T1600,75.07104
Y2023,Ocak,D02,T1700,79.824265
Y2023,Ocak,D02,T1800,84.47819
Y2023,Ocak,D02,T1900,86.68134
Y2023,Ocak,D02,T2000,89.5776
Y2023,Ocak,D02,T2100,91.8632
Y2023,Ocak,D02,T2200,92.450905
Y2023,Ocak,D02,T2300,93.055626
Y2023,Ocak,D03,T0000,93.35488
Y2023,Ocak,D03,T0100,94.29689
Y2023,Ocak,D03,T0200,95.91685
Y2023,Ocak,D03,T0300,96.566574
Y2023,Ocak,D03,T0400,97.36467
Y2023,Ocak,D03,T0500,97.2852
Y2023,Ocak,D03,T0600,98.22938
Y2023,Ocak,D03,T0700,98.76768
Y2023,Ocak,D03,T0800,98.975716
Y2023,Ocak,D03,T0900,98.101105
Y2023,Ocak,D03,T1000,97.79001
Y2023,Ocak,D03,T1100,94.724655
Y2023,Ocak,D03,T1200,89.85177
Y2023,Ocak,D03,T1300,86.44861
Y2023,Ocak,D03,T1400,84.29622
Y2023,Ocak,D03,T1500,83.615074
Y2023,Ocak,D03,T1600,89.05236
Y2023,Ocak,D03,T1700,90.93157
Y2023,Ocak,D03,T1800,99.56197
Y2023,Ocak,D03,T1900,99.83791
Y2023,Ocak,D03,T2000,99.55466
Y2023,Ocak,D03,T2100,99.27518
Y2023,Ocak,D03,T2200,95.7951
Y2023,Ocak,D03,T2300,95.52316
Y2023,Ocak,D04,T0000,95.51815
Y2023,Ocak,D04,T0100,95.3805
Y2023,Ocak,D04,T0200,94.58457
Y2023,Ocak,D04,T0300,93.52495
Y2023,Ocak,D04,T0400,92.43305
Y2023,Ocak,D04,T0500,91.37973
Y2023,Ocak,D04,T0600,90.64709
Y2023,Ocak,D04,T0700,89.17152
Y2023,Ocak,D04,T0800,84.79547
Y2023,Ocak,D04,T0900,81.60202
Y2023,Ocak,D04,T1000,76.74909
Y2023,Ocak,D04,T1100,74.75869
Y2023,Ocak,D04,T1200,74.44571
Y2023,Ocak,D04,T1300,72.64965
Y2023,Ocak,D04,T1400,75.00873
Y2023,Ocak,D04,T1500,78.548965
Y2023,Ocak,D04,T1600,82.32675
Y2023,Ocak,D04,T1700,84.73022
Y2023,Ocak,D04,T1800,85.678825
Y2023,Ocak,D04,T1900,86.73402
Y2023,Ocak,D04,T2000,87.95353
Y2023,Ocak,D04,T2100,89.17193
Y2023,Ocak,D04,T2200,88.28161
Y2023,Ocak,D04,T2300,90.941864
Y2023,Ocak,D05,T0000,91.43554
Y2023,Ocak,D05,T0100,91.071
Y2023,Ocak,D05,T0200,91.81077
Y2023,Ocak,D05,T0300,94.76135
Y2023,Ocak,D05,T0400,94.63317
Y2023,Ocak,D05,T0500,94.697495
Y2023,Ocak,D05,T0600,95.20682
Y2023,Ocak,D05,T0700,94.63029
Y2023,Ocak,D05,T0800,94.63414
Y2023,Ocak,D05,T0900,93.26286
Y2023,Ocak,D05,T1000,90.942505
Y2023,Ocak,D05,T1100,90.18233
Y2023,Ocak,D05,T1200,88.9423
Y2023,Ocak,D05,T1300,86.896194
Y2023,Ocak,D05,T1400,84.75597
Y2023,Ocak,D05,T1500,84.056206
Y2023,Ocak,D05,T1600,84.93279
Y2023,Ocak,D05,T1700,88.20442
Y2023,Ocak,D05,T1800,91.85636
Y2023,Ocak,D05,T1900,93.61213
Y2023,Ocak,D05,T2000,93.586685
Y2023,Ocak,D05,T2100,93.95377
Y2023,Ocak,D05,T2200,93.6754
Y2023,Ocak,D05,T2300,93.96636
Y2023,Ocak,D06,T0000,94.98118
Y2023,Ocak,D06,T0100,95.42991
Y2023,Ocak,D06,T0200,97.37206
Y2023,Ocak,D06,T0300,97.777504
Y2023,Ocak,D06,T0400,97.725464
Y2023,Ocak,D06,T0500,97.4689
Y2023,Ocak,D06,T0600,96.81995
Y2023,Ocak,D06,T0700,97.15706
Y2023,Ocak,D06,T0800,96.63692
Y2023,Ocak,D06,T0900,94.69382
Y2023,Ocak,D06,T1000,94.51751
Y2023,Ocak,D06,T1100,90.08406
Y2023,Ocak,D06,T1200,82.92228
Y2023,Ocak,D06,T1300,80.294044
Y2023,Ocak,D06,T1400,79.62867
Y2023,Ocak,D06,T1500,83.222694
Y2023,Ocak,D06,T1600,78.07266
Y2023,Ocak,D06,T1700,78.74753
Y2023,Ocak,D06,T1800,80.14581
Y2023,Ocak,D06,T1900,86.378586
Y2023,Ocak,D06,T2000,88.23993
Y2023,Ocak,D06,T2100,90.60384
Y2023,Ocak,D06,T2200,92.677925
Y2023,Ocak,D06,T2300,93.47243
Y2023,Ocak,D07,T0000,95.56991
Y2023,Ocak,D07,T0100,95.56715
Y2023,Ocak,D07,T0200,96.95527
Y2023,Ocak,D07,T0300,96.010765
Y2023,Ocak,D07,T0400,96.07805
Y2023,Ocak,D07,T0500,94.69863
Y2023,Ocak,D07,T0600,94.42218
Y2023,Ocak,D07,T0700,94.627945
Y2023,Ocak,D07,T0800,93.33817
Y2023,Ocak,D07,T0900,89.44482
Y2023,Ocak,D07,T1000,82.79536
Y2023,Ocak,D07,T1100,78.777214
Y2023,Ocak,D07,T1200,76.17021
Y2023,Ocak,D07,T1300,74.85244
Y2023,Ocak,D07,T1400,73.75271
Y2023,Ocak,D07,T1500,78.07593
Y2023,Ocak,D07,T1600,87.92876
Y2023,Ocak,D07,T1700,91.44819
Y2023,Ocak,D07,T1800,93.15187
Y2023,Ocak,D07,T1900,92.41921
Y2023,Ocak,D07,T2000,91.81727
Y2023,Ocak,D07,T2100,90.590065
Y2023,Ocak,D07,T2200,92.0888
Y2023,Ocak,D07,T2300,92.3427
Y2023,Ocak,D08,T0000,94.15033
Y2023,Ocak,D08,T0100,93.81798
Y2023,Ocak,D08,T0200,93.238144
Y2023,Ocak,D08,T0300,93.13383
Y2023,Ocak,D08,T0400,92.37505
Y2023,Ocak,D08,T0500,91.31781
Y2023,Ocak,D08,T0600,93.24444
Y2023,Ocak,D08,T0700,94.45409
Y2023,Ocak,D08,T0800,94.794685
Y2023,Ocak,D08,T0900,95.39249
Y2023,Ocak,D08,T1000,93.913536
Y2023,Ocak,D08,T1100,93.2771
Y2023,Ocak,D08,T1200,91.35312
Y2023,Ocak,D08,T1300,90.72706
Y2023,Ocak,D08,T1400,89.57437
Y2023,Ocak,D08,T1500,87.623184
Y2023,Ocak,D08,T1600,88.77246
Y2023,Ocak,D08,T1700,91.37219
Y2023,Ocak,D08,T1800,92.82529
Y2023,Ocak,D08,T1900,95.47448
Y2023,Ocak,D08,T2000,96.40353
Y2023,Ocak,D08,T2100,95.611
Y2023,Ocak,D08,T2200,94.00372
Y2023,Ocak,D08,T2300,90.2919
Y2023,Ocak,D09,T0000,89.728004
Y2023,Ocak,D09,T0100,88.655045
Y2023,Ocak,D09,T0200,89.33691
Y2023,Ocak,D09,T0300,84.95622
Y2023,Ocak,D09,T0400,84.286835
Y2023,Ocak,D09,T0500,82.81522
Y2023,Ocak,D09,T0600,82.03259
Y2023,Ocak,D09,T0700,80.76678
Y2023,Ocak,D09,T0800,80.09155
Y2023,Ocak,D09,T0900,77.99657
Y2023,Ocak,D09,T1000,76.877914
Y2023,Ocak,D09,T1100,79.880905
Y2023,Ocak,D09,T1200,81.937096
Y2023,Ocak,D09,T1300,80.65859
Y2023,Ocak,D09,T1400,80.1307
Y2023,Ocak,D09,T1500,86.368416
Y2023,Ocak,D09,T1600,86.16401
Y2023,Ocak,D09,T1700,87.12378
Y2023,Ocak,D09,T1800,86.440125
Y2023,Ocak,D09,T1900,87.47163
Y2023,Ocak,D09,T2000,85.82048
Y2023,Ocak,D09,T2100,86.84056
Y2023,Ocak,D09,T2200,90.33494
Y2023,Ocak,D09,T2300,89.39483
Y2023,Ocak,D10,T0000,87.489
Y2023,Ocak,D10,T0100,86.61887
Y2023,Ocak,D10,T0200,84.95404
Y2023,Ocak,D10,T0300,83.73636
Y2023,Ocak,D10,T0400,83.533745
Y2023,Ocak,D10,T0500,82.64202
Y2023,Ocak,D10,T0600,85.8815
Y2023,Ocak,D10,T0700,87.22991
Y2023,Ocak,D10,T0800,88.358185
Y2023,Ocak,D10,T0900,88.140114
Y2023,Ocak,D10,T1000,82.56005
Y2023,Ocak,D10,T1100,81.52662
Y2023,Ocak,D10,T1200,73.14752
Y2023,Ocak,D10,T1300,68.34578
Y2023,Ocak,D10,T1400,64.53312
Y2023,Ocak,D10,T1500,66.95021
Y2023,Ocak,D10,T1600,70.948425
Y2023,Ocak,D10,T1700,71.44398
Y2023,Ocak,D10,T1800,69.425186
Y2023,Ocak,D10,T1900,68.77658
Y2023,Ocak,D10,T2000,69.04307
Y2023,Ocak,D10,T2100,67.96222
Y2023,Ocak,D10,T2200,72.76012
Y2023,Ocak,D10,T2300,73.845055
Y2023,Ocak,D11,T0000,75.41526
Y2023,Ocak,D11,T0100,75.93772
Y2023,Ocak,D11,T0200,78.22386
Y2023,Ocak,D11,T0300,80.24637
Y2023,Ocak,D11,T0400,81.58567
Y2023,Ocak,D11,T0500,82.011604
Y2023,Ocak,D11,T0600,82.20109
Y2023,Ocak,D11,T0700,80.56956
Y2023,Ocak,D11,T0800,79.7834
Y2023,Ocak,D11,T0900,79.31963
Y2023,Ocak,D11,T1000,80.764046
Y2023,Ocak,D11,T1100,86.69305
Y2023,Ocak,D11,T1200,90.588326
Y2023,Ocak,D11,T1300,92.20566
Y2023,Ocak,D11,T1400,92.02774
Y2023,Ocak,D11,T1500,89.16786
Y2023,Ocak,D11,T1600,90.11406
Y2023,Ocak,D11,T1700,89.28698
Y2023,Ocak,D11,T1800,89.13629
Y2023,Ocak,D11,T1900,89.40632
Y2023,Ocak,D11,T2000,87.80346
Y2023,Ocak,D11,T2100,87.22962
Y2023,Ocak,D11,T2200,87.39545
Y2023,Ocak,D11,T2300,84.869774
Y2023,Ocak,D12,T0000,84.14994
Y2023,Ocak,D12,T0100,83.49864
Y2023,Ocak,D12,T0200,81.73657
Y2023,Ocak,D12,T0300,81.80119
Y2023,Ocak,D12,T0400,79.91787
Y2023,Ocak,D12,T0500,78.28549
Y2023,Ocak,D12,T0600,77.66633
Y2023,Ocak,D12,T0700,77.16991
Y2023,Ocak,D12,T0800,75.81001
Y2023,Ocak,D12,T0900,74.83986
Y2023,Ocak,D12,T1000,74.14576
Y2023,Ocak,D12,T1100,73.56864
Y2023,Ocak,D12,T1200,71.06546
Y2023,Ocak,D12,T1300,71.310005
Y2023,Ocak,D12,T1400,70.5368
Y2023,Ocak,D12,T1500,70.32671
Y2023,Ocak,D12,T1600,71.21132
Y2023,Ocak,D12,T1700,69.658
Y2023,Ocak,D12,T1800,68.29547
Y2023,Ocak,D12,T1900,67.29687
Y2023,Ocak,D12,T2000,66.72541
Y2023,Ocak,D12,T2100,65.44799
Y2023,Ocak,D12,T2200,65.353615
Y2023,Ocak,D12,T2300,65.24343
Y2023,Ocak,D13,T0000,67.86306
Y2023,Ocak,D13,T0100,70.66234
Y2023,Ocak,D13,T0200,74.51013
Y2023,Ocak,D13,T0300,79.21607
Y2023,Ocak,D13,T0400,83.841034
Y2023,Ocak,D13,T0500,84.8246
Y2023,Ocak,D13,T0600,82.13952
Y2023,Ocak,D13,T0700,82.26404
Y2023,Ocak,D13,T0800,83.968124
