Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D01,T0000,83.567314,230.06802
Y2023,Ocak,D01,T0100,87.857704,229.65335
Y2023,Ocak,D01,T0200,90.80639,230.63068
Y2023,Ocak,D01,T0300,90.299736,230.66238
Y2023,Ocak,D01,T0400,90.745705,231.76617
Y2023,Ocak,D01,T0500,88.15811,231.63252
Y2023,Ocak,D01,T0600,82.14392,230.8696
Y2023,Ocak,D01,T0700,77.0812,231.2566
Y2023,Ocak,D01,T0800,76.757706,232.43141
Y2023,Ocak,D01,T0900,76.063156,238.94324
Y2023,Ocak,D01,T1000,68.63265,234.39246
Y2023,Ocak,D01,T1100,68.59487,236.56013
Y2023,Ocak,D01,T1200,65.53582,234.38914
Y2023,Ocak,D01,T1300,65.01663,232.87631
Y2023,Ocak,D01,T1400,65.45469,233.94946
Y2023,Ocak,D01,T1500,64.624756,229.7449
Y2023,Ocak,D01,T1600,65.19878,226.78992
Y2023,Ocak,D01,T1700,64.70793,227.25458
Y2023,Ocak,D01,T1800,63.296562,229.15129
Y2023,Ocak,D01,T1900,62.970165,231.03326
Y2023,Ocak,D01,T2000,61.521038,235.00798
Y2023,Ocak,D01,T2100,56.920994,235.30484
Y2023,Ocak,D01,T2200,47.75533,229.5861
Y2023,Ocak,D01,T2300,56.304043,233.05684
Y2023,Ocak,D02,T0000,60.1103,235.7389
Y2023,Ocak,D02,T0100,61.77331,229.25385
Y2023,Ocak,D02,T0200,64.9129,225.22469
Y2023,Ocak,D02,T0300,67.78141,222.41698
Y2023,Ocak,D02,T0400,68.7779,227.1211
Y2023,Ocak,D02,T0500,66.5153,230.7106
Y2023,Ocak,D02,T0600,63.653862,232.35239
Y2023,Ocak,D02,T0700,74.81506,229.48842
Y2023,Ocak,D02,T0800,83.718376,229.18492
Y2023,Ocak,D02,T0900,89.54163,228.74907
Y2023,Ocak,D02,T1000,83.25968,226.22633
Y2023,Ocak,D02,T1100,94.18662,225.0
Y2023,Ocak,D02,T1200,92.7096,223.11182
Y2023,Ocak,D02,T1300,93.43162,225.78055
Y2023,Ocak,D02,T1400,82.87353,233.47855
Y2023,Ocak,D02,T1500,74.79428,235.39206
Y2023,Ocak,D02,T1600,71.4371,234.22737
