Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D01,T0000,12.270246
Y2023,Ocak,D01,T0100,12.340245
Y2023,Ocak,D01,T0200,11.840245
Y2023,Ocak,D01,T0300,11.550245
Y2023,Ocak,D01,T0400,11.260245
Y2023,Ocak,D01,T0500,10.990245
Y2023,Ocak,D01,T0600,10.350245
Y2023,Ocak,D01,T0700,10.090245
Y2023,Ocak,D01,T0800,10.400246
Y2023,Ocak,D01,T0900,12.050245
Y2023,Ocak,D01,T1000,14.290245
Y2023,Ocak,D01,T1100,16.000246
Y2023,Ocak,D01,T1200,16.830246
Y2023,Ocak,D01,T1300,17.230246
Y2023,Ocak,D01,T1400,16.960245
Y2023,Ocak,D01,T1500,15.360246
Y2023,Ocak,D01,T1600,12.270246
Y2023,Ocak,D01,T1700,10.930245
Y2023,Ocak,D01,T1800,10.410245
Y2023,Ocak,D01,T1900,9.650246
Y2023,Ocak,D01,T2000,9.340245
Y2023,Ocak,D01,T2100,9.030245
Y2023,Ocak,D01,T2200,8.890245
Y2023,Ocak,D01,T2300,8.570246
Y2023,Ocak,D02,T0000,8.490246
Y2023,Ocak,D02,T0100,8.340245
Y2023,Ocak,D02,T0200,7.8402452
Y2023,Ocak,D02,T0300,7.8202453
Y2023,Ocak,D02,T0400,7.7602453
Y2023,Ocak,D02,T0500,7.5102453
Y2023,Ocak,D02,T0600,7.4702454
Y2023,Ocak,D02,T0700,7.420245
Y2023,Ocak,D02,T0800,7.540245
Y2023,Ocak,D02,T0900,9.110246
Y2023,Ocak,D02,T1000,11.150246
Y2023,Ocak,D02,T1100,12.700245
Y2023,Ocak,D02,T1200,14.210245
Y2023,Ocak,D02,T1300,14.500245
Y2023,Ocak,D02,T1400,13.990245
Y2023,Ocak,D02,T1500,12.970245
Y2023,Ocak,D02,T1600,12.430245
Y2023,Ocak,D02,T1700,12.130245
Y2023,Ocak,D02,T1800,11.470245
Y2023,Ocak,D02,T1900,10.900246
Y2023,Ocak,D02,T2000,10.500245
Y2023,Ocak,D02,T2100,9.730246
Y2023,Ocak,D02,T2200,9.120245
Y2023,Ocak,D02,T2300,8.640245
Y2023,Ocak,D03,T0000,8.300245
Y2023,Ocak,D03,T0100,7.8202453
Y2023,Ocak,D03,T0200,7.3702455
Y2023,Ocak,D03,T0300,6.9702454
Y2023,Ocak,D03,T0400,6.730245
Y2023,Ocak,D03,T0500,6.3702455
Y2023,Ocak,D03,T0600,6.0902452
Y2023,Ocak,D03,T0700,5.630245
Y2023,Ocak,D03,T0800,5.670245
Y2023,Ocak,D03,T0900,6.400245
Y2023,Ocak,D03,T1000,7.4102454
Y2023,Ocak,D03,T1100,8.540245
Y2023,Ocak,D03,T1200,9.410245
Y2023,Ocak,D03,T1300,9.830245
Y2023,Ocak,D03,T1400,9.970245
Y2023,Ocak,D03,T1500,9.610246
Y2023,Ocak,D03,T1600,8.050245
