Yil,Ay,Gun,Saat,Yagis
Y2023,Ocak,D01,T0000,0.0
Y2023,Ocak,D01,T0100,0.0
Y2023,Ocak,D01,T0200,0.0
Y2023,Ocak,D01,T0300,0.0
Y2023,Ocak,D01,T0400,0.0
Y2023,Ocak,D01,T0500,0.0
Y2023,Ocak,D01,T0600,0.0
Y2023,Ocak,D01,T0700,0.0
Y2023,Ocak,D01,T0800,0.0
Y2023,Ocak,D01,T0900,0.0
Y2023,Ocak,D01,T1000,0.0
Y2023,Ocak,D01,T1100,0.0
Y2023,Ocak,D01,T1200,0.0
Y2023,Ocak,D01,T1300,0.0
Y2023,Ocak,D01,T1400,0.0
Y2023,Ocak,D01,T1500,0.0
Y2023,Ocak,D01,T1600,0.0
Y2023,Ocak,D01,T1700,0.0
Y2023,Ocak,D01,T1800,0.0
Y2023,Ocak,D01,T1900,0.0
Y2023,Ocak,D01,T2000,0.0
Y2023,Ocak,D01,T2100,0.0
Y2023,Ocak,D01,T2200,0.0
Y2023,Ocak,D01,T2300,0.0
Y2023,Ocak,D02,T0000,0.0
Y2023,Ocak,D02,T0100,0.0
Y2023,Ocak,D02,T0200,0.0
Y2023,Ocak,D02,T0300,0.0
Y2023,Ocak,D02,T0400,0.0
Y2023,Ocak,D02,T0500,0.0
Y2023,Ocak,D02,T0600,0.0
Y2023,Ocak,D02,T0700,0.0
Y2023,Ocak,D02,T0800,0.0
Y2023,Ocak,D02,T0900,0.0
Y2023,Ocak,D02,T1000,0.0
Y2023,Ocak,D02,T1100,0.0
Y2023,Ocak,D02,T1200,0.0
Y2023,Ocak,D02,T1300,0.0
Y2023,Ocak,D02,T1400,0.1
Y2023,Ocak,D02,T1500,0.2
Y2023,Ocak,D02,T1600,0.4
Y2023,Ocak,D02,T1700,0.5
Y2023,Ocak,D02,T1800,0.6
Y2023,Ocak,D02,T1900,0.5
Y2023,Ocak,D02,T2000,0.2
Y2023,Ocak,D02,T2100,0.0
Y2023,Ocak,D02,T2200,0.0
Y2023,Ocak,D02,T2300,0.0
Y2023,Ocak,D03,T0000,0.0
Y2023,Ocak,D03,T0100,0.0
Y2023,Ocak,D03,T0200,0.0
Y2023,Ocak,D03,T0300,0.0
Y2023,Ocak,D03,T0400,0.0
Y2023,Ocak,D03,T0500,0.0
Y2023,Ocak,D03,T0600,0.0
Y2023,Ocak,D03,T0700,0.0
Y2023,Ocak,D03,T0800,0.0
Y2023,Ocak,D03,T0900,0.0
Y2023,Ocak,D03,T1000,0.0
Y2023,Ocak,D03,T1100,0.0
Y2023,Ocak,D03,T1200,0.0
Y2023,Ocak,D03,T1300,0.0
Y2023,Ocak,D03,T1400,0.0
Y2023,Ocak,D03,T1500,0.0
Y2023,Ocak,D03,T1600,0.0
Y2023,Ocak,D03,T1700,0.0
